EI,2011-12-05,041530
EI,2011-12-07,131600
EI,2011-12-15,193216
EI,2011-12-21,142354
EI,2012-01-13,200257
EI,2012-01-30,160157
EI,2012-03-02,195319
EI,2012-03-15,191447
EI,2012-03-23,182826
EI,2012-03-31,173903
EI,2012-04-01,040019
EI,2012-04-05,000315
EI,2012-04-14,174650
EI,2012-04-16,111710
EI,2012-04-30,140241
EI,2012-05-12,192956
EI,2012-05-14,032145
EI,2012-06-26,175002
EI,2012-06-29,224723
EI,2012-07-02,025225
EI,2012-08-05,191448
EI,2012-08-16,232649
EI,2012-08-28,073034
EI,2012-09-09,145954
EI,2012-09-15,002520
EI,2012-09-15,055418
EI,2012-09-20,140512
EI,2012-09-22,193805
EI,2012-10-23,222807
EI,2012-10-30,050928
EI,2012-11-09,061752
EI,2012-11-11,085431
EI,2012-12-16,065724
EI,2012-12-21,054926
EI,2012-12-21,102734
EI,2012-12-22,175209
EI,2012-12-28,132112
EI,2012-12-29,061816
EI,2013-01-05,053700
EI,2013-01-15,000504
EI,2013-01-22,083259
EI,2013-02-21,145659
EI,2013-02-24,020410
EI,2013-02-25,191231
EI,2013-02-27,040158
EI,2013-03-07,135838
EI,2013-03-12,185153
EI,2013-03-21,005146
EI,2013-03-31,124923
EI,2013-04-01,170733
EI,2013-04-04,195900
EI,2013-04-17,195940
EI,2013-04-18,132706
EI,2013-04-20,044506
EI,2013-05-01,161303
EI,2013-05-04,130734
EI,2013-05-07,173106
EI,2013-05-09,014744
EI,2013-05-10,145753
EI,2013-05-16,141546
EI,2013-05-27,184106
EI,2013-05-28,190756
EI,2013-06-05,145414
EI,2013-06-05,152324
EI,2013-06-05,185244
EI,2013-06-08,151817
EI,2013-06-17,154948
EI,2013-06-27,222331
EI,2013-06-28,172946
EI,2013-06-30,012022
EI,2013-07-13,191411
EI,2013-07-27,043432
EI,2013-08-05,010055
EI,2013-08-08,180156
EI,2013-08-10,011837
EI,2013-08-19,181404
EI,2013-09-03,140957
EI,2013-09-10,054231
EI,2013-09-16,162113
EI,2013-10-19,104205
EI,2013-11-09,201410
EI,2013-11-12,225914
EI,2013-11-14,171809
EI,2013-11-14,181327
EI,2013-11-20,233212
EI,2013-11-29,213126
EI,2013-12-01,111318
EI,2013-12-05,082516
EI,2013-12-07,194244
EI,2013-12-09,023631
EI,2013-12-09,134654
EI,2014-01-02,182136
EI,2014-01-06,215909
EI,2014-01-21,185002
EI,2014-01-22,022529
EI,2014-01-26,170924
EI,2014-02-02,135846
EI,2014-02-03,041817
EI,2014-02-07,105213
EI,2014-02-16,035350
EI,2014-02-19,023753
EI,2014-02-19,053233
EI,2014-02-23,173202
EI,2014-03-05,212417
EI,2014-03-13,203347
EI,2014-03-29,150742
EI,2014-04-03,123635
EI,2014-04-03,180037
EI,2014-04-04,163058
EI,2014-04-08,082756
EI,2014-04-25,173023
EI,2014-04-30,084301
EI,2014-05-01,141700
EI,2014-05-06,133123
EI,2014-05-07,085639
EI,2014-05-11,233755
EI,2014-05-14,013457
EI,2014-05-22,161017
EI,2014-05-25,110146
EI,2014-07-10,014230
EI,2014-07-24,161401
EI,2014-07-25,191632
EI,2014-07-27,180932
EI,2014-08-05,223435
EI,2014-08-13,155744
EI,2014-08-26,223011
EI,2014-09-20,234111
EI,2014-10-04,081916
EI,2014-10-09,133005
EI,2014-10-11,205713
EI,2014-10-13,115753
EI,2014-10-14,084115
EI,2014-10-20,061839
EI,2014-10-24,224323
EI,2014-10-26,153110
EI,2014-11-01,064938
EI,2014-11-03,192114
EI,2014-11-05,152229
EI,2014-11-07,134803
EI,2014-11-22,081815
EI,2014-12-03,062255
EI,2014-12-04,155801
EI,2014-12-10,185741
EI,2014-12-12,134958
EI,2015-01-01,023732
EI,2015-01-15,050425
EI,2015-01-23,033251
EI,2015-01-31,193145
EI,2015-02-07,025532
EI,2015-02-08,005517
EI,2015-02-15,005416
EI,2015-02-18,190613
EI,2015-02-21,153119
EI,2015-02-28,123140
EI,2015-03-02,114539
EI,2015-03-03,170120
EI,2015-03-11,102155
EI,2015-03-14,082945
EI,2015-03-16,175351
EI,2015-04-02,082510
EI,2015-04-03,014709
EI,2015-04-06,141326
EI,2015-04-06,145116
EI,2015-04-07,163941
EI,2015-04-15,081148
EI,2015-04-25,031918
EI,2015-05-09,215100
EI,2015-05-23,062000
EI,2015-05-25,212634
EI,2015-05-31,195523
EI,2015-06-08,203849
EI,2015-06-09,224948
EI,2015-06-15,231942
EI,2015-07-24,175329
EI,2015-07-24,192957
EI,2015-07-30,140139
EI,2015-07-31,024256
EI,2015-08-05,193855
EI,2015-08-06,114720
EI,2015-08-10,021500
EI,2015-08-11,063950
EI,2015-08-21,182854
EI,2015-09-05,010657
EI,2015-09-14,030605
EI,2015-09-14,082630
EI,2015-09-15,063016
EI,2015-09-29,004613
EI,2015-10-04,041049
EI,2015-10-13,221536
EI,2015-10-20,205502
EI,2015-11-12,163232
EI,2015-11-21,170808
EI,2015-11-23,134423
EI,2015-11-30,073543
WI,2012-03-01,045340
WI,2012-03-30,230403
WI,2012-04-04,162509
WI,2012-04-06,163818
WI,2012-05-10,181048
WI,2012-06-08,230622
WI,2012-06-25,162947
WI,2012-07-10,102819
WI,2012-07-15,052243
WI,2012-07-15,055209
